status,row_count,plant,machine,folder,run_type,matched_running_speed_key,matched_speed,raw_example,complexities_example
MISSING_PLANT_IN_RUNNING_SPEED,5,Saltlake,Cromoman,Folder C,GNP+Complexity,,0,"('Saltlake', 'Cromoman', 'Folder C')",C12-High Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,5,Nacharam,Hiline-1,F-1,GNP+Complexity,,0,"('Nacharam', 'Hiline-1', 'F-1')",C12-High Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,4,Saltlake,Cromoman,Folder C,GNP,,0,"('Saltlake', 'Cromoman', 'Folder C')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,4,Chinhat,Hiline-2,Folder 3,GNP,,0,"('Chinhat', 'Hiline-2', 'Folder 3')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,3,Chinhat,Hiline-2,Folder 3,SNP+Complexity,,0,"('Chinhat', 'Hiline-2', 'Folder 3')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Bhosari,Regioman,Folder 3,GNP+Complexity,,0,"('Bhosari', 'Regioman', 'Folder 3')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Butibori,HILINE,JF-2,SNP,,0,"('Butibori', 'Hiline', 'JF-2')",C2-Standard Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Nacharam,Hiline-1,F-1,GNP,,0,"('Nacharam', 'Hiline-1', 'F-1')",C6-Standard Pagination (Light GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Bhosari,Regioman,Folder 4,GNP,,0,"('Bhosari', 'Regioman', 'Folder 4')",C8-Standard Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,2,Vejalpur,Cityline-1,F1,GNP+Complexity,,0,"('Vejalpur', 'Cityline-1', 'F1')",C9-Standard Pagination (Heavy GNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Nacharam,Hiline-2,Folder 3,SNP+Complexity,,0,"('Nacharam', 'Hiline-2', 'Folder 3')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Bhosari,Regioman,Folder 4,GNP+Complexity,,0,"('Bhosari', 'Regioman', 'Folder 4')",C10-High Pagination (Heavy GNP)
MISSING_PLANT_IN_RUNNING_SPEED,2,Chinhat,Hiline-2,Folder 4,SNP,,0,"('Chinhat', 'Hiline-2', 'Folder 4')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,2,Chemmencherry,Regioman,Folder 1,SNP+Complexity,,0,"('Chemmencherry', 'Regioman', 'Folder 1')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,2,Chemmencherry,Regioman,Folder 2,SNP+Complexity,,0,"('Chemmencherry', 'Regioman', 'Folder 2')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,1,Bhosari,Regioman,Folder 3,SNP+Complexity,,0,"('Bhosari', 'Regioman', 'Folder 3')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,1,Nacharam,Hiline-1,F-2,SNP+Complexity,,0,"('Nacharam', 'Hiline-1', 'F-2')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,1,Vejalpur,HILINE,HL - Folder 1,SNP+Complexity,,0,"('Vejalpur', 'Hiline', 'HL - Folder 1')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,1,Nacharam,Hiline-1,F-1,SNP+Complexity,,0,"('Nacharam', 'Hiline-1', 'F-1')",C4-High Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,1,Nacharam,Hiline-1,F-2,GNP+Complexity,,0,"('Nacharam', 'Hiline-1', 'F-2')",C15-Other complex innovation
MISSING_PLANT_IN_RUNNING_SPEED,1,Nacharam,Hiline-2,Folder 4,GNP,,0,"('Nacharam', 'Hiline-2', 'Folder 4')",C5-Standard Pagination (Light GNP)
